Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_707.jpg;4.495056;1;0;3.375537;105.2091;91.28914;1.389664;47.79441;-0.001981284
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_756.jpg;6.763193;1;0;3.401522;105.2992;91.39127;1.380475;48.24464;0.01294979
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_806.jpg;8.999257;1;0;3.438701;105.4323;91.54801;1.336526;49.28755;0.07168688
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_856.jpg;6.734705;1;0;3.46424;105.5201;91.65437;1.278942;50.07938;0.1131869
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_906.jpg;4.502557;1;0;3.505042;105.6514;91.81633;1.174519;51.06098;0.1682262
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_02_956.jpg;2.229137;1;0;3.53139;105.7391;91.92609;1.112422;51.52076;0.2102019
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_006.jpg;0.0119536;1;0;3.571005;105.8718;92.09277;1.043335;51.86152;0.2606034
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_055.jpg;0;1;0;3.596534;105.9613;92.20515;1.015238;51.92858;0.2835422
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_106.jpg;0;1;0;3.634404;106.0968;92.37564;0.9935085;51.94781;0.298536
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_156.jpg;0;1;0;3.660425;106.188;92.49055;0.9935392;51.93777;0.2970564
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_206.jpg;0;1;0;3.698526;106.3261;92.66483;1.017819;51.91512;0.2808114
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_255.jpg;-2.262742;1;0;3.723226;106.4195;92.78182;1.045064;51.83051;0.2471968
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_306.jpg;-4.498271;1;0;3.760872;106.5628;92.95781;1.113886;51.42336;0.1508652
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_355.jpg;-6.744534;1;0;3.784959;106.6609;93.075;1.177632;50.93665;0.04847865
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_406.jpg;-9.010305;1;0;3.820585;106.8111;93.25041;1.267581;49.89316;359.927
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_456.jpg;-9.694221;1;0;3.843408;106.9135;93.36621;1.300517;49.01044;359.8349
C:\Users\Nexus\Documents\NANDODEGREE\IMG\robocam_2018_07_25_16_14_03_506.jpg;-7.480658;1;0;3.875389;107.0677;93.53812;1.20894;47.63623;359.7881
